city,timestamp,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,weather_condition
Marseille,05/07/2024 21:00:00,14.1,70.3,47.6,2.4,pluvieux
Paris,06/30/2024 02:00:00,23.6,64.1,16.3,0.0,nuageux
Strasbourg,26/01/2024 10:00,7.4,64.5,24.7,0.0,neigeux
Strasbourg,04/30/2024 19:00:00,6.9,88.5,31.4,7.4,orageux
Lyon,2024-05-05 08:00:00,7.2,48.2,30.1,5.8,orageux
Paris,2024-04-13T23:00:00,19.4,93.2,11.2,0.0,nuageux
Strasbourg,2024-02-09T18:00:00,-2.1,53.9,15.4,0.0,nuageux
Paris,2024-01-07 04:00:00,100.0,77.5,28.8,5.3,orageux
Lille,28/01/2024 06:00,8.9,61.7,18.7,0.0,pluvieux
Marseille,28/02/2024 01:00,12.4,75.5,14.4,9.5,pluvieux
Nantes,19/02/2024 16:00,5.6,94.2,35.5,5.9,pluvieux
Grenoble,11/01/2024 18:00,100.0,65.5,41.1,9.8,orageux
Lille,01/19/2024 09:00:00,-3.2,67.1,1.3,0.0,neigeux
Toulouse,26/01/2024 16:00,6.5,56.1,4.8,6.8,pluvieux
Rouen,2024-06-29T08:00:00,26.0,93.5,27.4,0.0,brumeux
Nantes,12/02/2024 05:00,8.5,42.8,16.0,1.2,pluvieux
Nantes,21/01/2024 18:00,11.8,75.2,29.2,0.0,nuageux
Lyon,2024-01-22T07:00:00,-1.9,91.0,8.5,0.0,brumeux
Strasbourg,24/06/2024 05:00,21.3,89.7,39.7,0.0,brumeux
Marseille,04/27/2024 04:00:00,11.0,66.7,14.2,0.0,ensoleille
Marseille,12/01/2024 21:00,6.2,84.9,10.7,0.0,brumeux
Marseille,2024-04-22T00:00:00,23.8,81.6,3.0,0.0,brumeux
Bordeaux,05/12/2024 08:00:00,15.3,72.9,46.6,0.0,orageux
Lille,2024-01-07T23:00:00,-1.3,68.1,29.6,7.4,orageux
Nantes,2024-06-12T00:00:00,21.6,65.1,27.2,0.0,ensoleille
Nantes,01/02/2024 06:00,4.9,49.5,5.1,0.0,neigeux
Bordeaux,2024-02-11T15:00:00,"3,0",83.3,47.2,0.0,nuageux
Paris,06/11/2024 21:00:00,17.7,52.4,15.6,0.0,orageux
Lyon,2024-05-15 16:00:00,19.7,86.9,7.1,0.0,brumeux
Toulouse,2024-06-27T14:00:00,24.4,66.4,29.6,0.0,nuageux
Paris,2024-01-06T12:00:00,-2.9,57.5,42.9,0.0,orageux
Strasbourg,2024-02-20 02:00:00,1.6,46.2,24.8,0.0,
Bordeaux,06/26/2024 05:00:00,31.1,44.9,2.9,0.0,nuageux
Toulouse,2024-01-27 20:00:00,12.9,81.3,42.6,0.0,brumeux
Marseille,2024-02-28 14:00:00,6.2,72.3,18.0,0.0,ensoleille
Lyon,2024-03-12 21:00:00,8.0,89.4,11.1,0.8,pluvieux
Lille,2024-03-21 02:00:00,17.2,68.5,16.7,6.4,orageux
Grenoble,03/25/2024 18:00:00,19.4,93.9,20.2,8.3,orageux
Paris,16/01/2024 08:00,3.4,78.5,33.7,0.0,pluvieux
Marseille,2024-05-07T04:00:00,17.5,84.1,34.7,0.0,
Toulouse,2024-06-30T13:00:00,32.7,76.7,10.8,1.1,pluvieux
Bordeaux,2024-06-28T18:00:00,27.3,75.2,28.2,7.5,orageux
Rouen,2024-02-16 09:00:00,7.5,47.2,9.9,0.0,pluvieux
Rouen,2024-04-07T20:00:00,7.2,68.5,32.3,9.9,pluvieux
Rouen,08/03/2024 03:00,10.8,53.0,38.5,9.0,pluvieux
Grenoble,06/05/2024 08:00,19.3,90.8,22.5,0.0,nuageux
Paris,04/18/2024 22:00:00,16.4,58.7,17.3,0.0,ensoleille
Paris,2024-05-10T03:00:00,"11,7",82.9,12.2,0.0,brumeux
Bordeaux,01/27/2024 15:00:00,4.1,90.3,49.0,0.0,nuageux
Lyon,2024-06-14 18:00:00,26.7,87.8,34.3,0.3,pluvieux
Marseille,2024-06-14T22:00:00,"20,7",91.5,23.9,0.0,brumeux
Marseille,2024-02-10 22:00:00,15.5,40.5,4.4,4.6,pluvieux
Marseille,19/03/2024 07:00,10.5,45.3,9.1,0.0,pluvieux
Strasbourg,08/04/2024 11:00,15.8,81.7,6.9,0.0,nuageux
Toulouse,02/13/2024 10:00:00,7.9,93.1,40.3,3.6,pluvieux
Lille,2024-03-11 22:00:00,17.8,49.3,11.5,0.0,nuageux
Rouen,2024-01-27 10:00:00,-2.0,41.9,1.3,0.0,nuageux
Toulouse,2024-04-03 04:00:00,18.7,73.4,9.3,0.0,nuageux
Grenoble,2024-05-23 21:00:00,8.3,58.0,5.3,4.3,pluvieux
Rouen,2024-03-31T16:00:00,11.0,86.1,25.7,0.0,brumeux
Lille,2024-04-05T19:00:00,16.8,82.9,1.1,3.9,pluvieux
Lyon,08/06/2024 08:00,28.7,74.8,50.0,2.1,pluvieux
Lyon,2024-04-01T04:00:00,14.8,48.4,3.5,0.0,orageux
Lyon,2024-06-29 18:00:00,20.7,45.0,36.6,0.0,nuageux
Rouen,02/28/2024 16:00:00,10.4,45.1,29.7,0.0,brumeux
Lille,2024-02-04 13:00:00,5.9,128.5,7.6,0.0,pluvieux
Strasbourg,30/05/2024 12:00,8.3,65.3,4.0,0.0,pluvieux
Bordeaux,22/02/2024 00:00,12.7,45.4,2.4,0.0,orageux
Paris,2024-03-12T13:00:00,12.9,85.8,16.3,10.0,pluvieux
Nantes,2024-06-21T16:00:00,17.2,57.9,24.4,0.0,ensoleille
Grenoble,05/28/2024 06:00:00,20.4,40.8,26.7,0.5,pluvieux
Lille,11/01/2024 14:00,-4.2,87.3,4.9,0.0,brumeux
Bordeaux,2024-05-03 13:00:00,17.5,86.6,10.9,0.0,nuageux
Grenoble,29/04/2024 05:00,9.5,46.5,8.6,0.0,neigeux
Lille,2024-04-04 07:00:00,16.4,41.7,3.1,0.0,pluvieux
Strasbourg,2024-05-31 17:00:00,12.3,75.9,32.5,0.0,neigeux
Lyon,2024-01-29 23:00:00,12.7,67.6,1.8,0.0,pluvieux
Lyon,04/22/2024 06:00:00,"16,1",79.8,31.6,4.7,pluvieux
Toulouse,2024-04-02T20:00:00,24.0,41.8,31.0,7.1,orageux
Rouen,11/01/2024 23:00,"11,1",52.0,12.2,0.0,neigeux
Toulouse,2024-06-18 00:00:00,31.8,52.6,48.5,3.1,pluvieux
Lyon,2024-02-24 17:00:00,2.5,65.4,31.4,0.0,brumeux
Nantes,2024-06-27 00:00:00,32.2,72.1,16.9,0.0,nuageux
Strasbourg,04/28/2024 15:00:00,5.4,60.8,31.1,8.4,pluvieux
Lille,27/06/2024 17:00,30.7,82.5,48.4,0.0,brumeux
Nantes,04/24/2024 05:00:00,"13,3",46.9,22.5,0.0,brumeux
Rouen,2024-05-05 14:00:00,8.5,78.0,43.3,0.7,pluvieux
Lyon,26/01/2024 11:00,"5,3",48.5,4.8,0.0,orageux
Grenoble,02/05/2024 03:00,22.5,42.1,36.1,0.0,ensoleille
Strasbourg,01/26/2024 14:00:00,4.5,83.5,8.3,6.1,pluvieux
Lille,31/05/2024 16:00,11.1,72.2,23.8,0.0,brumeux
Marseille,04/12/2024 00:00:00,17.0,46.6,42.5,0.0,nuageux
Rouen,04/15/2024 15:00:00,17.4,66.7,0.3,0.0,orageux
Strasbourg,05/01/2024 13:00,-4.9,69.9,12.7,0.0,neigeux
Lille,04/03/2024 23:00,null,55.2,46.2,0.0,orageux
Rouen,25/04/2024 12:00,13.5,53.2,6.6,0.0,nuageux
Lille,2024-05-16T13:00:00,9.3,72.6,28.7,0.0,brumeux
Nantes,30/04/2024 23:00,"9,1",83.8,22.9,7.8,orageux
Bordeaux,31/05/2024 05:00,25.0,40.2,39.2,0.0,ensoleille
Rouen,2024-01-05T12:00:00,"-2,3",52.7,14.7,2.5,pluvieux
Marseille,12/01/2024 06:00,12.2,86.9,3.5,6.3,pluvieux
Nantes,2024-04-08T23:00:00,8.7,67.5,6.2,0.0,brumeux
Grenoble,04/02/2024 03:00:00,13.9,61.0,42.8,0.0,orageux
Rouen,06/08/2024 13:00:00,27.2,78.6,27.0,0.0,
Lyon,2024-02-13 19:00:00,9.6,79.9,17.9,0.0,nuageux
Paris,04/16/2024 06:00:00,10.2,87.6,49.2,0.0,brumeux
Marseille,2024-05-06 05:00:00,19.6,69.5,33.0,2.9,pluvieux
Marseille,14/05/2024 00:00,25.6,52.1,9.3,0.0,nuageux
Grenoble,03/04/2024 17:00:00,18.8,110.0,45.7,6.0,pluvieux
Bordeaux,2024-06-28 09:00:00,29.7,53.4,41.8,0.0,
Toulouse,23/03/2024 21:00,13.1,47.0,49.5,0.0,ensoleille
Marseille,2024-01-14T20:00:00,13.0,67.2,32.7,9.4,pluvieux
Bordeaux,2024-05-17T09:00:00,17.1,64.6,46.8,1.8,pluvieux
Lille,01/06/2024 15:00,"24,2",53.7,23.3,0.0,nuageux
Toulouse,01/04/2024 09:00,12.1,43.1,17.6,0.0,brumeux
Toulouse,2024-05-12T23:00:00,14.1,45.5,45.4,0.0,ensoleille
Lille,06/01/2024 09:00,-80.0,84.9,41.3,0.0,nuageux
Nantes,02/23/2024 20:00:00,-1.3,60.2,5.7,0.0,pluvieux
Lille,2024-02-06 01:00:00,7.9,68.4,21.6,6.6,orageux
Grenoble,01/29/2024 23:00:00,-2.0,79.6,46.4,0.0,neigeux
Strasbourg,29/04/2024 02:00,10.8,88.9,39.4,7.1,pluvieux
Paris,2024-06-01T13:00:00,18.8,47.4,5.0,0.0,nuageux
Grenoble,03/02/2024 07:00,12.6,77.5,10.5,0.0,orageux
Toulouse,01/22/2024 01:00:00,10.3,44.5,26.2,0.0,orageux
Grenoble,05/28/2024 23:00:00,9.3,94.9,10.7,1.9,pluvieux
Bordeaux,2024-03-02T14:00:00,11.4,66.5,36.6,0.0,pluvieux
Grenoble,04/24/2024 03:00:00,14.1,41.0,5.2,1.1,pluvieux
Paris,09/02/2024 10:00,2.7,60.1,26.0,0.0,neigeux
Bordeaux,04/07/2024 02:00:00,23.4,57.3,5.2,0.0,ensoleille
Rouen,2024-05-31T03:00:00,7.3,62.2,24.6,0.0,pluvieux
Nantes,2024-01-18 22:00:00,8.3,80.1,37.1,0.0,nuageux
Lyon,2024-04-04 02:00:00,7.2,91.7,22.7,6.2,pluvieux
Lyon,01/11/2024 00:00:00,9.9,89.5,37.5,0.0,brumeux
Strasbourg,28/04/2024 14:00,18.4,68.0,37.6,0.0,orageux
Lyon,2024-05-28 05:00:00,21.4,68.1,1.8,0.0,
Marseille,10/06/2024 19:00,27.2,43.0,12.5,0.0,ensoleille
Bordeaux,25/04/2024 16:00,22.4,77.3,7.5,5.5,pluvieux
Marseille,2024-06-02 10:00:00,35.0,65.9,29.5,8.4,pluvieux
Lille,2024-01-31T09:00:00,"8,1",47.9,8.2,0.0,orageux
Grenoble,14/05/2024 05:00,11.9,59.6,26.7,3.6,pluvieux
Strasbourg,24/05/2024 11:00,14.6,53.4,0.3,0.0,brumeux
Lille,14/06/2024 04:00,21.6,87.1,41.9,7.3,pluvieux
Bordeaux,2024-02-16T22:00:00,7.7,72.7,45.5,0.0,neigeux
Paris,03/30/2024 07:00:00,"16,5",72.5,34.1,3.6,pluvieux
Nantes,2024-02-08T22:00:00,-2.6,55.3,34.7,0.0,ensoleille
Marseille,2024-05-27 15:00:00,16.2,65.6,18.8,0.0,orageux
Marseille,2024-01-26T11:00:00,2.7,77.1,30.5,0.0,brumeux
Nantes,13/03/2024 16:00,17.3,58.3,39.2,0.0,ensoleille
Nantes,2024-05-06 19:00:00,11.3,80.0,5.7,0.0,orageux
Nantes,2024-01-21 22:00:00,3.2,40.7,17.3,0.0,neigeux
Nantes,06/18/2024 14:00:00,26.6,86.5,35.5,4.5,pluvieux
Bordeaux,01/07/2024 18:00:00,6.7,85.8,38.4,0.0,nuageux
Nantes,25/02/2024 16:00,-2.1,50.4,28.9,9.4,pluvieux
Toulouse,2024-02-19T20:00:00,1.4,67.6,31.3,0.0,orageux
Grenoble,2024-02-13T07:00:00,"4,1",86.0,22.6,0.0,brumeux
Nantes,11/06/2024 08:00,22.2,79.1,0.2,4.6,pluvieux
Toulouse,06/30/2024 01:00:00,33.9,78.6,37.1,0.0,ensoleille
Nantes,2024-01-02T17:00:00,3.4,75.7,5.2,0.1,pluvieux
Paris,04/23/2024 11:00:00,21.4,44.5,24.1,6.9,pluvieux
Nantes,01/07/2024 07:00:00,-2.3,93.6,18.5,0.0,brumeux
Lille,2024-01-23T03:00:00,"4,2",85.8,37.2,0.0,nuageux
Strasbourg,2024-03-13T13:00:00,5.7,72.5,12.6,0.0,ensoleille
Paris,04/05/2024 04:00:00,8.8,71.9,20.6,7.7,pluvieux
Strasbourg,05/24/2024 01:00:00,20.5,51.1,40.6,0.0,ensoleille
Toulouse,2024-01-09T00:00:00,9.2,93.6,9.1,0.0,nuageux
Lyon,2024-04-16 05:00:00,8.7,86.8,34.6,4.6,pluvieux
Nantes,05/20/2024 23:00:00,13.6,,31.5,8.6,orageux
Rouen,2024-03-04 04:00:00,18.7,86.1,31.6,4.1,pluvieux
Strasbourg,2024-04-07 14:00:00,14.8,46.6,25.5,0.0,brumeux
Paris,30/01/2024 14:00,5.1,83.4,42.1,0.0,nuageux
Lille,03/01/2024 20:00,1.0,69.5,44.3,0.0,brumeux
Rouen,16/05/2024 04:00,15.0,58.9,25.0,0.0,brumeux
Bordeaux,2024-06-04 03:00:00,"30,6",44.3,47.5,0.1,pluvieux
Rouen,2024-04-23T03:00:00,13.5,73.1,35.1,5.1,pluvieux
Lille,04/11/2024 08:00:00,15.2,83.1,18.6,0.0,nuageux
Nantes,06/28/2024 16:00:00,22.9,90.1,45.9,0.0,nuageux
Lille,2024-01-09T02:00:00,5.3,94.0,22.2,0.0,brumeux
Nantes,11/02/2024 21:00,8.5,59.1,45.1,0.0,pluvieux
Lyon,2024-01-23T05:00:00,1.4,42.4,23.1,8.8,pluvieux
Grenoble,03/05/2024 18:00,10.0,40.9,26.8,0.0,
Marseille,06/21/2024 20:00:00,31.8,53.0,4.1,0.0,ensoleille
Bordeaux,06/08/2024 06:00:00,26.5,69.0,26.4,0.0,ensoleille
Nantes,2024-01-20T16:00:00,0.8,89.7,39.8,0.0,brumeux
Marseille,03/08/2024 16:00:00,25.8,77.1,10.0,6.2,orageux
Paris,31/01/2024 21:00,"10,6",77.5,16.6,5.1,orageux
Toulouse,2024-06-03 08:00:00,24.7,76.1,12.4,0.0,nuageux
Bordeaux,2024-02-22 12:00:00,13.4,40.3,23.2,0.0,neigeux
Toulouse,2024-03-03 02:00:00,10.2,66.7,31.6,7.1,pluvieux
Strasbourg,2024-01-06 02:00:00,-4.5,51.8,20.0,0.0,pluvieux
Rouen,30/03/2024 09:00,21.1,56.6,9.8,9.3,orageux
Strasbourg,02/12/2024 04:00:00,8.7,139.3,2.5,0.0,ensoleille
Toulouse,2024-02-06 01:00:00,11.7,83.2,13.5,0.0,brumeux
Marseille,21/05/2024 01:00,21.0,55.7,3.9,7.5,pluvieux
Lyon,04/12/2024 21:00:00,10.5,64.0,43.6,0.0,pluvieux
Lyon,05/06/2024 05:00:00,-80.0,42.3,45.5,0.0,nuageux
Marseille,2024-04-18 02:00:00,20.3,41.4,49.2,0.0,nuageux
Lyon,15/04/2024 11:00,22.5,48.0,28.7,0.0,nuageux
Lyon,2024-05-26 20:00:00,18.2,68.6,1.0,0.0,orageux
Strasbourg,2024-01-31T02:00:00,"0,5",77.1,14.0,0.0,ensoleille
Bordeaux,2024-05-10T19:00:00,19.2,43.6,16.8,0.0,orageux
Lille,24/03/2024 06:00,17.0,52.2,17.4,0.0,nuageux
Nantes,2024-04-03 11:00:00,18.6,60.8,17.8,0.0,neigeux
Bordeaux,2024-04-05 22:00:00,11.1,87.7,0.5,0.3,pluvieux
Nantes,05/08/2024 23:00:00,"12,0",42.6,45.3,0.0,ensoleille
Strasbourg,19/01/2024 15:00,9.4,42.8,21.7,5.0,pluvieux
Lille,2024-05-29T23:00:00,18.0,41.1,5.6,2.9,pluvieux
Strasbourg,30/06/2024 09:00,26.9,41.9,10.2,4.4,pluvieux
Nantes,2024-03-24T17:00:00,17.8,69.0,9.9,3.8,pluvieux
Lyon,24/06/2024 22:00,"30,3",54.0,33.5,0.0,
Toulouse,06/01/2024 20:00,8.0,73.0,38.0,8.2,pluvieux
Rouen,2024-06-10 22:00:00,21.7,41.1,41.2,9.7,pluvieux
Bordeaux,18/05/2024 16:00,"15,4",63.4,0.7,3.4,pluvieux
Marseille,20/01/2024 22:00,0.9,78.9,23.2,0.0,ensoleille
Lille,06/06/2024 02:00,28.2,63.6,24.4,0.0,nuageux
Grenoble,01/18/2024 02:00:00,-2.3,51.0,33.9,0.0,pluvieux
Rouen,28/06/2024 11:00,"18,6",93.2,21.2,5.1,orageux
Lyon,04/20/2024 06:00:00,"11,3",80.0,22.3,5.9,
Nantes,2024-06-06 20:00:00,30.2,46.8,29.7,0.0,nuageux
Grenoble,24/06/2024 13:00,26.3,51.6,47.5,0.0,nuageux
Toulouse,01/15/2024 06:00:00,10.1,67.6,15.8,0.0,pluvieux
Toulouse,2024-06-01 19:00:00,25.7,78.5,41.6,0.0,ensoleille
Toulouse,2024-05-26 09:00:00,13.1,73.2,6.5,0.0,brumeux
Strasbourg,01/10/2024 10:00:00,7.3,58.9,25.7,0.0,nuageux
Bordeaux,06/24/2024 17:00:00,"25,1",74.5,18.6,0.0,nuageux
Lyon,02/23/2024 18:00:00,1.1,69.3,14.0,8.8,pluvieux
Paris,2024-05-05T08:00:00,"17,1",86.9,39.1,0.0,brumeux
Rouen,2024-04-20 15:00:00,16.6,40.2,48.6,9.8,
Paris,2024-06-08T15:00:00,31.8,73.4,25.0,0.0,ensoleille
Paris,2024-01-27 15:00:00,11.8,47.1,30.6,0.1,pluvieux
Rouen,2024-02-17 18:00:00,7.2,51.2,4.6,0.0,
Lille,2024-03-12T11:00:00,8.4,68.3,47.4,3.4,pluvieux
Lille,03/07/2024 06:00:00,NA,78.7,21.5,4.9,pluvieux
Rouen,03/03/2024 16:00,14.6,54.6,22.6,0.0,pluvieux
Bordeaux,2024-02-29T13:00:00,"2,0",53.9,3.7,8.6,orageux
Rouen,06/01/2024 12:00:00,30.1,88.7,41.8,2.4,pluvieux
Lyon,05/25/2024 17:00:00,15.2,89.2,7.3,0.0,nuageux
Rouen,2024-04-06 04:00:00,13.8,59.5,12.0,0.0,orageux
Toulouse,2024-02-07 13:00:00,14.2,49.3,31.0,7.5,pluvieux
Strasbourg,06/14/2024 11:00:00,24.4,53.4,13.5,0.0,nuageux
Rouen,2024-02-05 00:00:00,-1.9,74.0,37.2,0.0,
Nantes,2024-03-27 05:00:00,14.0,71.3,6.3,0.8,pluvieux
Bordeaux,19/02/2024 06:00,14.2,70.5,40.2,0.7,pluvieux
Lille,2024-04-07 10:00:00,11.0,86.1,31.8,0.0,brumeux
Lyon,2024-05-30T11:00:00,12.5,62.4,44.7,1.4,pluvieux
Nantes,2024-01-29 09:00:00,10.9,91.5,16.2,0.0,brumeux
Toulouse,02/06/2024 00:00,30.0,60.7,19.7,0.0,nuageux
Lille,01/23/2024 04:00:00,-4.4,80.9,17.6,1.6,pluvieux
Lille,17/01/2024 09:00,3.4,45.7,34.1,0.0,pluvieux
Nantes,26/06/2024 11:00,27.6,77.4,35.2,0.0,ensoleille
Paris,01/03/2024 01:00:00,-0.1,73.0,26.0,0.0,pluvieux
Rouen,2024-02-11T02:00:00,0.3,77.5,46.1,0.0,orageux
Toulouse,2024-02-06 16:00:00,12.1,67.8,36.1,0.0,pluvieux
Lille,2024-06-16T21:00:00,27.7,46.8,21.9,7.4,pluvieux
Lyon,07/04/2024 12:00,"12,4",124.2,1.8,0.0,neigeux
Nantes,2024-06-05 13:00:00,23.0,42.5,32.3,3.7,pluvieux
Nantes,2024-04-11 23:00:00,"16,0",87.6,14.9,0.0,brumeux
Nantes,05/01/2024 19:00:00,18.8,60.5,26.4,4.9,pluvieux
Strasbourg,2024-03-22T17:00:00,17.5,75.6,20.1,0.0,ensoleille
Marseille,04/02/2024 17:00:00,25.1,85.1,14.8,0.0,nuageux
Grenoble,2024-03-28T01:00:00,13.3,91.4,49.7,0.0,nuageux
Strasbourg,2024-02-21 23:00:00,8.0,82.2,4.6,0.0,
Strasbourg,03/24/2024 08:00:00,6.4,64.8,25.5,2.4,pluvieux
Rouen,2024-04-25T19:00:00,21.7,53.0,43.5,0.0,ensoleille
Rouen,2024-03-20 13:00:00,19.8,65.1,23.5,0.0,ensoleille
Lille,03/23/2024 11:00:00,17.2,57.4,27.6,0.0,pluvieux
Lyon,2024-01-01 19:00:00,3.0,88.5,16.8,0.0,brumeux
Rouen,06/01/2024 01:00:00,"31,3",93.0,23.7,7.3,orageux
Bordeaux,04/27/2024 16:00:00,21.9,81.7,26.4,0.0,brumeux
